symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-26 09:40:00,1187.87,1189.46,1184.89,1185.56,230380,273421167.0,5min
600519.SH,2026-06-26 09:45:00,1184.88,1188.67,1183.2,1183.4,228418,270748172.0,5min
600519.SH,2026-06-26 09:50:00,1183.0,1191.4,1181.42,1190.4,170797,202341909.0,5min
600519.SH,2026-06-26 09:55:00,1191.0,1198.5,1191.0,1192.19,228137,272630414.0,5min
600519.SH,2026-06-26 10:00:00,1192.01,1193.86,1185.28,1187.36,117000,139101870.0,5min
600519.SH,2026-06-26 10:05:00,1187.21,1190.92,1186.28,1188.19,93050,110556839.0,5min
600519.SH,2026-06-26 10:10:00,1188.0,1191.6,1187.5,1189.02,98100,116647877.0,5min
600519.SH,2026-06-26 10:15:00,1189.83,1191.0,1186.82,1188.6,95183,113162562.0,5min
600519.SH,2026-06-26 10:20:00,1188.59,1188.99,1184.0,1184.99,96333,114207698.0,5min
600519.SH,2026-06-26 10:25:00,1184.7,1184.99,1181.61,1181.88,103917,122919690.0,5min
600519.SH,2026-06-26 10:30:00,1181.88,1182.68,1180.49,1181.25,106200,125472799.0,5min
600519.SH,2026-06-26 10:35:00,1181.29,1182.0,1180.0,1180.62,140700,166081477.0,5min
600519.SH,2026-06-26 10:40:00,1180.66,1180.66,1177.0,1177.68,118400,139567527.0,5min
600519.SH,2026-06-26 10:45:00,1177.05,1178.99,1176.0,1176.0,85200,100341102.0,5min
600519.SH,2026-06-26 10:50:00,1176.0,1177.63,1175.66,1177.0,58600,68948243.0,5min
600519.SH,2026-06-26 10:55:00,1177.18,1178.67,1176.0,1177.0,67200,79099454.0,5min
600519.SH,2026-06-26 11:00:00,1176.59,1176.93,1175.08,1175.6,81400,95727513.0,5min
600519.SH,2026-06-26 11:05:00,1175.6,1177.0,1175.01,1176.8,63300,74424458.0,5min
600519.SH,2026-06-26 11:10:00,1177.28,1185.16,1175.12,1185.11,92733,109521338.0,5min
600519.SH,2026-06-26 11:15:00,1185.19,1187.8,1183.38,1187.19,107514,127481461.0,5min
600519.SH,2026-06-26 11:20:00,1187.67,1188.7,1180.4,1181.2,90900,107649928.0,5min
600519.SH,2026-06-26 11:25:00,1181.12,1183.68,1179.98,1183.23,54150,63961095.0,5min
600519.SH,2026-06-26 11:30:00,1183.65,1185.9,1182.22,1184.98,66605,78871950.0,5min
600519.SH,2026-06-26 13:05:00,1185.23,1189.0,1181.0,1183.66,153000,181333199.0,5min
600519.SH,2026-06-26 13:10:00,1183.31,1184.87,1180.28,1180.99,66600,78816770.0,5min
600519.SH,2026-06-26 13:15:00,1181.0,1184.05,1180.29,1183.82,35500,41941796.0,5min
600519.SH,2026-06-26 13:20:00,1182.51,1184.0,1180.46,1182.26,64350,76058716.0,5min
600519.SH,2026-06-26 13:25:00,1182.31,1183.97,1181.29,1181.33,60800,71905637.0,5min
