symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
603195.SH,公牛集团,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7011100.0,6983000.0,321929.68700000003,20200206,2331,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688002.SH,睿创微纳,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6994299.999999999,6994299.999999999,1415482.276,20190722,2530,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000625.SZ,长安汽车,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6968800.0,5811799.999999999,638143.704,19970610,10607,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002027.SZ,分众传媒,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6961100.0,6961100.0,988674.789,20040804,7995,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300751.SZ,迈为股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6958600.0,4811600.0,4105077.068,20181109,2785,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600039.SH,四川路桥,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6956500.0,6956500.0,138506.592,20030325,8493,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601788.SH,光大证券,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6948500.0,5887400.0,988930.25,20090818,6155,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
301358.SZ,湖南裕能,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6940700.000000001,6254299.999999999,2347859.942,20230209,1232,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300037.SZ,新宙邦,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6806799.999999999,4883100.0,2996575.122,20100108,6012,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600674.SH,川投能源,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6766000.0,6766000.0,560494.772,19930924,11962,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688331.SH,荣昌生物,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6744900.0,1948800.0,1435187.8539999998,20220331,1547,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000708.SZ,中信特钢,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6732900.0,6732900.0,199037.503,19970326,10683,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688037.SH,芯源微,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6714200.0,6714200.0,3003513.207,20191216,2383,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002812.SZ,恩捷股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6705000.0,5616300.0,1645946.2599999998,20160914,3571,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300672.SZ,国科微,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6694400.000000001,6485800.0,4092463.415,20170712,3270,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600436.SH,片仔癀,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6683500.0,6683500.0,511454.731,20030616,8410,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002625.SZ,光启技术,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6621000.0,6621000.0,1004153.943,20111103,5348,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688141.SH,杰华特,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6614299.999999999,6614299.999999999,1856275.569,20221223,1280,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
001965.SZ,招商公路,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6611600.0,6611600.0,99533.836,20171225,3104,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000066.SZ,中国长城,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6603200.000000001,6602700.0,8386167.970000001,19970626,10591,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
